SEQ=2213 | IR=6307 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2214 | IR=6310 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2215 | IR=6302 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2216 | IR=6301 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2217 | IR=6307 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2218 | IR=6307 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2219 | IR=6293 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2220 | IR=6299 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2221 | IR=6299 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2222 | IR=6307 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2223 | IR=6308 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2224 | IR=6303 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2225 | IR=6309 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2226 | IR=6312 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2227 | IR=6309 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2228 | IR=6286 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2229 | IR=6318 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2230 | IR=6297 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2231 | IR=6318 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2232 | IR=6314 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2233 | IR=6293 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2234 | IR=6297 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2235 | IR=6302 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2236 | IR=6299 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2237 | IR=6317 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2238 | IR=6307 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2239 | IR=6308 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2240 | IR=6295 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2241 | IR=6298 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2242 | IR=6303 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2243 | IR=6300 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2244 | IR=6295 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2245 | IR=6291 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2246 | IR=6314 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2247 | IR=6304 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2248 | IR=6321 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2249 | IR=6307 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2250 | IR=6310 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2251 | IR=6309 | MOV=0.025 | MPU=OK | BLE=CONECTADO
SEQ=2252 | IR=6290 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2253 | IR=6288 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2254 | IR=6305 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2255 | IR=6294 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2256 | IR=6297 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2257 | IR=6302 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2258 | IR=6305 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2259 | IR=6295 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2260 | IR=6309 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2261 | IR=6314 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2262 | IR=6312 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2263 | IR=6309 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2264 | IR=6298 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2265 | IR=6311 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2266 | IR=6301 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2267 | IR=6308 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2268 | IR=6314 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2269 | IR=6310 | MOV=0.025 | MPU=OK | BLE=CONECTADO
SEQ=2270 | IR=6307 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2271 | IR=6314 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2272 | IR=6303 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2273 | IR=6303 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2274 | IR=6310 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2275 | IR=6306 | MOV=0.025 | MPU=OK | BLE=CONECTADO
SEQ=2276 | IR=6303 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2277 | IR=6306 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2278 | IR=6294 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2279 | IR=6309 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2280 | IR=6301 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2281 | IR=6291 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2282 | IR=6301 | MOV=0.018 | MPU=OK | BLE=CONECTADO
SEQ=2283 | IR=6312 | MOV=0.017 | MPU=OK | BLE=CONECTADO
